los,cfreq,smoothed
1237,98,102
1238,107,103
1239,96,99
1240,98,101
1241,98,98
1242,106,101
1243,94,100
1244,111,101
1245,89,98
1246,105,100
1247,91,96
1248,103,99
1249,92,97
1250,105,98
1251,93,98
1252,97,99
1253,101,96
1254,99,100
1255,92,103
1256,110,104
1257,111,106
1258,108,104
1259,108,99
1260,85,96
1261,82,93
1262,96,89
1263,96,93
1264,85,98
1265,105,97
1266,106,96
1267,92,98
1268,91,98
1269,96,96
1270,104,98
1271,98,95
1272,99,94
1273,79,93
1274,91,90
1275,98,91
1276,82,96
1277,103,100
1278,105,101
1279,110,104
1280,107,102
1281,97,99
1282,89,94
1283,94,93
1284,83,94
1285,103,95
1286,101,96
1287,92,102
1288,102,100
1289,110,99
1290,93,101
1291,96,97
1292,105,93
1293,83,93
1294,89,92
1295,91,85
1296,90,85
1297,73,86
1298,83,84
1299,92,87
1300,83,91
1301,103,94
1302,94,95
1303,96,97
1304,99,92
1305,93,93
1306,79,92
1307,99,92
1308,88,93
1309,101,97
1310,96,90
1311,99,92
1312,68,95
1313,96,93
1314,118,92
1315,85,100
1316,94,99
1317,107,91
1318,92,95
1319,76,93
1320,107,88
1321,85,92
1322,81,95
1323,109,92
1324,91,93
1325,92,92
1326,91,89
1327,78,92
1328,93,94
1329,107,92
1330,103,96
1331,81,94
1332,95,87
1333,83,81
1334,71,85
1335,77,85
1336,100,87
1337,94,92
1338,94,96
1339,93,95
1340,99,92
1341,93,94
1342,80,93
1343,103,93
1344,92,94
1345,96,93
1346,99,90
1347,73,86
1348,92,78
1349,68,80
1350,58,81
1351,109,80
1352,80,83
1353,83,88
1354,85,84
1355,84,85
1356,89,85
1357,83,83
1358,83,81
1359,78,83
1360,72,86
1361,100,86
1362,96,88
1363,86,92
1364,84,86
1365,94,84
1366,72,83
1367,86,84
1368,77,81
1369,92,82
1370,80,86
1371,73,86
1372,106,84
1373,78,83
1374,84,86
1375,72,80
1376,90,82
1377,75,81
1378,89,87
1379,80,85
1380,99,88
1381,81,88
1382,89,89
1383,92,88
1384,82,91
1385,98,88
1386,95,88
1387,73,87
1388,94,81
1389,73,78
1390,71,82
1391,81,79
1392,89,84
1393,83,86
1394,98,87
1395,78,85
1396,89,83
1397,77,76
1398,71,78
1399,67,74
1400,86,75
1401,71,74
1402,78,75
1403,67,74
1404,75,76
1405,78,74
1406,83,77
1407,68,78
1408,79,79
1409,81,78
1410,83,81
1411,77,80
1412,83,81
1413,78,78
1414,82,78
1415,71,74
1416,75,74
1417,66,75
1418,77,75
1419,85,77
1420,73,80
1421,84,79
1422,80,76
1423,73,75
1424,71,74
1425,67,74
1426,78,78
1427,81,79
1428,93,82
1429,75,82
1430,83,80
1431,77,75
1432,70,75
1433,69,76
1434,78,76
1435,84,80
1436,77,79
1437,90,76
1438,65,75
1439,66,78
1440,78,77
1441,90,80
1442,85,81
1443,80,80
1444,73,78
1445,72,74
1446,79,76
1447,66,76
1448,90,75
1449,72,71
1450,70,73
1451,59,71
1452,76,72
1453,79,71
1454,74,73
1455,68,72
1456,69,71
1457,70,72
1458,76,69
1459,75,68
1460,57,65
1461,60,64
1462,57,63
1463,71,65
1464,69,67
1465,69,69
1466,70,72
1467,66,71
1468,84,70
1469,67,68
1470,65,69
1471,58,66
1472,71,63
1473,70,65
1474,53,69
1475,72,67
1476,77,66
1477,65,67
1478,62,66
1479,60,64
1480,68,62
1481,64,63
1482,55,66
1483,70,69
1484,73,69
1485,82,72
1486,64,73
1487,72,72
1488,74,70
1489,68,71
1490,74,71
1491,69,71
1492,70,72
1493,72,69
1494,76,70
1495,56,70
1496,75,67
1497,69,62
1498,60,65
1499,52,61
1500,68,60
1501,55,63
1502,66,65
1503,72,66
1504,64,66
1505,73,68
1506,56,65
1507,73,66
1508,61,67
1509,68,68
1510,75,66
1511,65,71
1512,60,72
1513,89,69
1514,70,69
1515,61,67
1516,67,64
1517,50,66
1518,73,68
1519,81,65
1520,67,70
1521,52,67
1522,75,66
1523,59,65
1524,77,68
1525,61,65
1526,70,67
1527,60,65
1528,67,64
1529,65,63
1530,58,63
1531,63,61
1532,63,59
1533,55,61
1534,56,61
1535,66,60
1536,66,58
1537,57,61
1538,46,62
1539,71,60
1540,69,63
1541,58,68
1542,73,66
1543,67,65
1544,62,68
1545,65,66
1546,74,64
1547,64,65
1548,56,62
1549,65,59
1550,53,56
1551,58,57
1552,50,54
1553,57,55
1554,53,53
1555,59,55
1556,47,57
1557,60,57
1558,65,57
1559,55,61
1560,56,59
1561,69,57
1562,50,57
1563,53,54
1564,56,53
1565,44,55
1566,60,58
1567,63,60
1568,69,64
1569,64,63
1570,62,65
1571,58,62
1572,70,60
1573,57,59
1574,53,59
1575,55,56
1576,61,55
1577,53,55
1578,54,56
1579,52,56
1580,60,56
1581,59,58
1582,57,61
1583,60,60
1584,68,61
1585,58,61
1586,61,61
1587,59,61
1588,61,61
1589,66,57
1590,56,59
1591,43,61
1592,68,56
1593,71,57
1594,43,59
1595,61,55
1596,53,55
1597,48,59
1598,70,59
1599,63,60
1600,59,62
1601,61,63
1602,57,63
1603,75,64
1604,64,66
1605,63,70
1606,73,65
1607,74,62
1608,50,60
1609,50,57
1610,51,52
1611,58,52
1612,52,53
1613,51,54
1614,52,56
1615,59,57
1616,66,60
1617,57,60
1618,64,58
1619,54,53
1620,50,54
1621,42,50
1622,60,51
1623,45,53
1624,60,58
1625,60,57
1626,63,58
1627,58,55
1628,51,55
1629,42,58
1630,59,59
1631,80,61
1632,63,63
1633,59,64
1634,53,60
1635,63,60
1636,64,62
1637,63,60
1638,66,58
1639,42,56
1640,53,52
1641,55,51
1642,46,54
1643,57,53
1644,57,52
1645,50,52
1646,49,51
1647,48,52
1648,53,55
1649,59,55
1650,64,55
1651,53,57
1652,48,56
1653,60,51
1654,55,50
1655,41,52
1656,44,52
1657,59,55
1658,60,57
1659,73,60
1660,51,58
1661,57,56
1662,49,52
1663,52,53
1664,52,53
1665,54,54
1666,56,56
1667,56,54
1668,62,52
1669,41,51
1670,46,52
1671,52,48
1672,59,48
1673,40,50
1674,44,49
1675,53,48
1676,49,53
1677,55,53
1678,63,54
1679,44,55
1680,61,55
1681,53,51
1682,56,53
1683,39,53
1684,56,53
1685,59,52
1686,53,56
1687,52,56
1688,58,56
1689,60,60
1690,59,59
1691,71,58
1692,46,55
1693,54,53
1694,47,49
1695,47,51
1696,51,51
1697,58,51
1698,53,52
1699,44,50
1700,53,49
1701,41,46
1702,55,48
1703,38,48
1704,51,48
1705,57,47
1706,41,48
1707,49,48
1708,44,47
1709,51,47
1710,51,46
1711,40,47
1712,45,49
1713,50,48
1714,60,50
1715,44,50
1716,50,51
1717,47,51
1718,53,53
1719,61,52
1720,56,53
1721,43,52
1722,50,51
1723,51,48
1724,53,51
1725,45,50
1726,58,48
1727,44,50
1728,42,50
1729,59,45
1730,46,46
1731,33,48
1732,48,45
1733,52,47
1734,46,51
1735,56,50
1736,54,51
1737,41,49
1738,57,48
1739,38,47
1740,52,51
1741,47,47
1742,59,48
1743,41,47
1744,41,48
1745,46,43
1746,54,43
1747,32,44
1748,43,45
1749,47,43
1750,48,45
1751,44,45
1752,45,43
1753,41,42
1754,38,42
1755,42,42
1756,45,44
1757,42,44
1758,51,45
1759,40,46
1760,49,46
1761,49,45
1762,42,47
1763,47,47
1764,49,47
1765,46,51
1766,53,52
1767,59,51
1768,51,50
1769,45,48
1770,41,49
1771,45,46
1772,61,45
1773,39,47
1774,39,47
1775,51,43
1776,47,46
1777,39,48
1778,56,45
1779,45,43
1780,37,44
1781,40,42
1782,42,41
1783,45,42
1784,43,43
1785,39,43
1786,46,43
1787,43,43
1788,42,42
1789,46,43
1790,31,44
1791,51,43
1792,48,40
1793,37,42
1794,34,41
1795,40,39
1796,48,39
1797,36,40
1798,37,42
1799,41,40
1800,46,41
1801,39,44
1802,44,44
1803,49,41
1804,41,41
1805,34,39
1806,36,38
1807,34,40
1808,47,42
1809,51,43
1810,42,45
1811,40,44
1812,43,41
1813,44,42
1814,37,42
1815,45,43
1816,41,43
1817,48,45
1818,45,44
1819,46,43
1820,39,44
1821,37,45
1822,51,45
1823,50,46
1824,47,50
1825,47,46
1826,54,47
1827,30,49
1828,55,45
1829,59,42
1830,27,46
1831,39,46
1832,52,42
1833,55,44
1834,38,44
1835,36,43
1836,40,40
1837,48,41
1838,37,41
1839,42,43
1840,38,41
1841,49,39
1842,38,41
1843,29,42
1844,53,40
1845,42,39
1846,40,41
1847,32,37
1848,37,38
1849,35,39
1850,48,41
1851,42,40
1852,45,39
1853,28,37
1854,34,36
1855,34,34
1856,38,37
1857,36,38
1858,43,42
1859,38,44
1860,55,45
1861,47,47
1862,41,46
1863,54,42
1864,33,41
1865,35,41
1866,40,36
1867,41,38
1868,33,41
1869,42,40
1870,47,38
1871,36,38
1872,31,36
1873,36,35
1874,29,34
1875,41,34
1876,34,32
1877,32,36
1878,25,34
1879,49,34
1880,31,35
1881,34,40
1882,37,38
1883,47,42
1884,43,42
1885,50,43
1886,35,42
1887,39,41
1888,41,40
1889,38,40
1890,46,40
1891,38,38
1892,37,37
1893,31,35
1894,31,36
1895,37,38
1896,42,38
1897,51,41
1898,30,40
1899,45,37
1900,31,37
1901,30,39
1902,47,34
1903,41,36
1904,22,38
1905,40,37
1906,41,35
1907,39,38
1908,32,38
1909,39,36
1910,40,35
1911,32,38
1912,34,38
1913,47,38
1914,35,40
1915,41,40
1916,41,37
1917,35,36
1918,33,36
1919,32,34
1920,38,33
1921,32,33
1922,32,34
1923,30,35
1924,38,35
1925,41,36
1926,35,36
1927,34,36
1928,34,33
1929,34,31
1930,27,30
1931,27,31
1932,29,31
1933,36,32
1934,34,34
1935,35,36
1936,36,35
1937,41,34
1938,31,33
1939,29,30
1940,26,29
1941,24,31
1942,34,30
1943,40,32
1944,26,33
1945,34,31
1946,30,30
1947,26,33
1948,33,35
1949,42,36
1950,42,39
1951,38,39
1952,40,38
1953,31,35
1954,39,34
1955,26,33
1956,35,33
1957,36,33
1958,31,36
1959,37,36
1960,39,36
1961,38,37
1962,33,35
1963,38,35
1964,27,34
1965,39,34
1966,33,36
1967,35,36
1968,45,37
1969,30,36
1970,42,34
1971,27,33
1972,28,31
1973,36,28
1974,24,31
1975,26,33
1976,40,33
1977,40,35
1978,36,37
1979,33,35
1980,36,34
1981,30,36
1982,34,38
1983,48,38
1984,44,40
1985,34,41
1986,39,39
1987,38,39
1988,41,38
1989,42,37
1990,30,35
1991,32,32
1992,30,30
1993,28,29
1994,29,29
1995,27,29
1996,30,28
1997,30,29
1998,24,30
1999,33,31
2000,34,33
2001,33,33
2002,41,34
2003,26,36
2004,37,37
2005,42,36
2006,38,38
2007,36,36
2008,38,35
2009,28,34
2010,34,32
2011,32,31
2012,30,33
2013,33,33
2014,35,32
2015,34,33
2016,29,32
2017,32,31
2018,31,29
2019,30,29
2020,23,28
2021,28,28
2022,27,29
2023,32,31
2024,37,31
2025,30,33
2026,31,33
2027,36,31
2028,33,33
2029,23,32
2030,40,31
2031,28,32
2032,32,33
2033,37,30
2034,29,33
2035,24,34
2036,43,32
2037,35,33
2038,27,33
2039,36,30
2040,26,31
2041,28,32
2042,38,31
2043,32,32
2044,30,31
2045,30,31
2046,26,31
2047,39,31
2048,29,32
2049,33,32
2050,33,28
2051,24,28
2052,19,27
2053,30,27
2054,29,28
2055,31,31
2056,33,30
2057,30,30
2058,25,29
2059,29,26
2060,26,25
2061,22,25
2062,24,25
2063,23,24
2064,32,25
2065,17,26
